swarm0,swarm1,swarm2,swarm3,swarm4,swarm5,swarm6,swarm7,swarm8,swarm9,swarm10,swarm11,swarm12,swarm13,swarm14,swarm15,swarm16,swarm17,swarm18,swarm19,swarm20,swarm21,swarm22,swarm23,swarm24,swarm25,swarm26,swarm27,swarm28,swarm29,swarm30,swarm31,swarm32,swarm33,swarm34,swarm35,swarm36,swarm37,swarm38,swarm39,swarm40,swarm41,swarm42,swarm43,swarm44,swarm45,swarm46,swarm47,swarm48,swarm49,swarm50,swarm51,swarm52,swarm53,swarm54,swarm55,swarm56,swarm57,swarm58,swarm59,swarm60,swarm61,swarm62,swarm63,swarm64,swarm65,swarm66,swarm67,swarm68,swarm69,swarm70,swarm71,swarm72,swarm73,swarm74,swarm75,swarm76,swarm77,swarm78,swarm79,swarm80,swarm81,swarm82,swarm83,swarm84,swarm85,swarm86,swarm87,swarm88,swarm89,swarm90,swarm91,swarm92,swarm93,swarm94,swarm95,swarm96,swarm97,swarm98,swarm99
[5.906478 5.427514],[5.870378 5.622228],[5.470185 5.301949],[5.472083 6.073981],[5.748720 6.046633],[5.457804 5.749306],[5.564349 5.636625],[5.365658 5.446895],[5.903895 6.217743],[6.135061 5.778194],[5.026110 5.329131],[5.371049 5.780528],[6.466465 5.018366],[5.241610 5.548224],[5.476706 6.258346],[6.480511 5.127487],[5.222084 6.025670],[5.098425 6.108408],[5.253977 6.048891],[5.583834 6.221165],[5.282054 5.470509],[6.415752 6.081255],[5.880379 5.804264],[6.217588 5.621316],[6.186338 5.356802],[5.693767 5.860868],[5.893937 5.219569],[6.442394 5.331005],[5.873433 6.212108],[6.062665 5.954257],[5.549939 5.633429],[6.022705 6.203810],[5.758378 5.302372],[6.104427 5.357441],[5.307070 5.723381],[5.288597 5.348795],[6.032502 5.875926],[6.462165 5.035592],[5.434818 5.378180],[5.718703 5.837936],[6.403461 6.307106],[6.453991 5.796028],[6.028197 5.227652],[6.207420 6.245688],[6.388901 5.111222],[5.900556 5.003408],[5.708241 6.401911],[5.062429 6.188251],[5.071810 5.929700],[6.311382 6.324532],[5.549870 5.329962],[5.086873 5.333252],[6.069821 5.201105],[6.034970 5.779814],[5.914053 5.879404],[5.721892 5.516433],[5.409170 5.828682],[5.709461 6.033440],[6.385130 6.228560],[6.359584 5.681901],[6.393780 5.637530],[5.004289 6.039834],[6.103194 5.492265],[6.062398 6.326260],[6.089624 5.897104],[5.745632 5.685444],[6.098569 5.468122],[5.078639 6.492498],[5.524068 6.022735],[5.334482 6.311748],[6.127485 5.831117],[5.564261 5.305133],[5.163090 5.821564],[6.328533 5.939145],[5.462498 6.460256],[5.010400 6.197607],[5.946081 6.256923],[5.019970 6.372811],[5.833389 5.643400],[5.932987 5.594156],[6.224409 5.133057],[5.985457 5.807824],[6.269511 5.735280],[6.490884 5.733289],[5.491449 6.018537],[5.068556 5.438836],[5.285716 5.407307],[5.232570 6.090537],[5.341973 5.474554],[5.027404 5.966048],[6.244566 5.659048],[5.098094 6.237085],[6.109157 5.167239],[6.393854 5.926112],[5.727511 6.497394],[5.445801 5.871386],[5.640274 5.018791],[6.435962 6.138583],[5.213811 5.986815],[5.972463 5.741967]
[4.271967 4.953207],[5.584252 5.422125],[4.997524 5.416370],[5.218571 5.001591],[5.059593 5.983005],[5.059063 5.244391],[4.747310 5.133325],[4.272927 5.799038],[5.151060 4.660562],[5.047268 6.033737],[4.584282 5.496572],[5.243785 5.830490],[4.834198 5.810845],[5.272009 5.335630],[5.238011 5.614258],[5.466535 5.592382],[4.576087 5.583144],[4.737180 5.182826],[4.799875 5.680781],[6.001191 4.678848],[4.755496 5.554720],[5.255040 5.270611],[4.547296 5.106804],[5.658546 5.184465],[5.192979 5.007730],[4.827189 5.851648],[4.379430 5.526131],[5.084907 5.442939],[5.075918 5.161322],[4.007557 5.482958],[5.441714 5.316807],[4.212370 6.416917],[4.214411 5.118527],[4.279623 5.582396],[4.819376 5.404553],[4.930279 5.599658],[5.644173 5.730450],[5.327008 5.720308],[5.020204 5.506940],[5.152647 5.466432],[3.353314 4.688768],[4.490840 5.691873],[4.186977 5.293578],[4.722700 5.198670],[5.616894 5.803068],[4.985147 4.579501],[5.348865 5.797779],[4.711934 6.385671],[4.925212 4.550073],[5.162209 4.077722],[5.165754 5.410358],[5.269058 5.456213],[5.748652 5.414020],[4.685204 6.078037],[4.334617 5.755998],[5.361015 5.182561],[4.323208 4.988125],[4.837310 5.512956],[5.981665 4.440142],[6.416527 5.827195],[4.864131 5.895094],[5.458350 5.503597],[5.417581 5.551506],[4.992296 5.052109],[5.044275 5.840607],[5.380767 5.224808],[4.057612 5.742032],[5.345793 5.990191],[4.677869 6.353083],[4.820134 5.572811],[4.472297 6.132803],[4.730965 5.444771],[4.699878 5.678961],[5.080019 5.265930],[5.251495 4.619385],[4.624137 4.329510],[5.062312 5.597344],[5.100022 5.019243],[4.400068 5.317515],[5.205055 5.162362],[5.243596 5.331616],[5.153607 5.902680],[5.737898 5.434097],[5.049782 5.192555],[5.013713 4.212108],[4.786262 4.990139],[5.381941 5.161740],[5.151164 6.230542],[5.188576 4.843191],[5.395385 5.047177],[5.737639 5.699542],[4.700959 6.126018],[5.846265 5.263355],[4.919479 5.425490],[5.754293 5.031681],[4.609328 5.541971],[5.063893 5.963617],[3.606286 5.622455],[4.547034 5.000510],[3.772608 5.599082]
[1.626823 4.396113],[2.768384 4.148027],[1.540249 5.306981],[4.702723 3.868052],[2.608711 5.576739],[2.523250 4.633422],[3.224500 4.403395],[3.075100 4.848662],[3.354397 3.885758],[2.241075 3.472403],[3.507443 4.279573],[1.564462 4.636955],[3.620033 4.859198],[4.702368 4.092616],[3.994146 3.765068],[2.140859 4.278280],[2.339146 4.339061],[2.459338 4.399117],[3.577163 4.251318],[2.636850 3.919626],[2.490032 3.974171],[1.381759 4.587668],[3.513712 4.272766],[4.477526 4.705469],[1.019535 4.634989],[2.643847 3.772851],[1.685258 4.968590],[4.109809 4.581627],[4.007186 4.298245],[2.583806 3.934814],[4.064351 5.111471],[2.396902 3.780302],[2.170863 4.843164],[2.202815 4.289623],[3.259302 3.838854],[4.104687 5.201175],[4.484511 3.603180],[1.478349 5.960907],[3.186863 4.268605],[1.927131 3.871277],[1.828241 3.879599],[3.417867 3.716056],[2.374450 5.280750],[1.728577 3.858699],[3.503320 3.949975],[3.737008 4.481645],[4.241728 4.308409],[3.049238 5.884764],[3.381084 3.935187],[4.582437 3.218610],[4.762041 4.186836],[3.962671 5.335362],[1.730992 5.218193],[3.335156 4.857293],[2.490598 4.594858],[2.948149 4.187750],[2.600245 3.984100],[3.421484 5.211693],[1.593133 3.949568],[2.616685 4.266179],[1.534574 3.980068],[3.611527 3.809951],[4.986645 4.017227],[3.320370 3.819706],[2.308716 5.303173],[1.375469 4.673074],[2.486457 4.552947],[4.983851 5.259377],[3.578008 3.310684],[2.818662 4.619033],[1.625672 4.600562],[2.568993 4.308903],[2.380700 3.737110],[1.040722 4.546581],[3.981325 3.836140],[3.805636 4.058808],[1.376739 3.735293],[3.871704 4.227426],[1.648084 4.482513],[3.445854 4.393484],[1.049702 5.103900],[3.799103 4.558702],[4.606778 4.150124],[3.787452 4.411931],[1.802767 3.740425],[4.568421 4.175823],[4.701169 4.692738],[4.841581 5.955596],[3.919964 4.481863],[3.408076 3.878605],[4.658399 4.848737],[2.038339 5.613016],[2.430812 4.666147],[1.817401 4.554723],[2.674206 3.679402],[2.310475 4.820668],[3.943148 5.148074],[1.879744 4.986297],[2.838026 3.923643],[2.579100 3.818168]
[0.227403 3.874356],[0.592547 3.040847],[-0.341940 4.851856],[1.834811 3.245411],[-0.598872 3.565636],[-0.272108 2.692949],[1.265737 3.167234],[0.727133 3.182984],[0.241989 3.216993],[-0.889931 2.561720],[-0.119490 2.607748],[-0.587434 2.583668],[-0.971050 2.748929],[-0.741285 3.419348],[2.576944 2.802299],[-0.446106 2.620320],[0.834725 3.506379],[1.023268 3.934604],[-0.269241 2.603311],[0.643224 3.493710],[1.324438 2.911980],[-0.559003 2.596733],[-0.343349 3.607796],[0.045966 4.379230],[-1.028774 3.270380],[0.992652 2.663344],[-0.026814 4.272683],[2.782653 3.207377],[-1.075511 3.799500],[0.791355 2.841431],[2.449546 3.376842],[0.173942 2.441045],[0.645116 4.288442],[1.119407 3.029985],[2.343110 3.002091],[1.350736 4.964425],[1.595221 2.565902],[-0.562709 3.014183],[1.679615 3.047294],[-0.572666 3.015980],[0.568347 3.410028],[-0.297915 2.739001],[0.103087 3.994469],[-0.168810 3.077557],[-0.229812 2.982641],[2.770993 3.929383],[1.762029 3.165871],[-0.257800 2.625653],[1.506422 3.364580],[-0.482924 3.726918],[-0.161458 3.102869],[2.359123 2.867195],[-0.512375 4.460373],[1.855919 2.340935],[0.034005 3.806642],[0.388975 3.255231],[-0.139818 3.413719],[1.811092 4.227277],[-0.751983 3.529802],[-0.734786 3.432993],[-0.380710 2.827491],[2.463647 2.843861],[0.624331 3.039283],[1.243774 3.104504],[-0.447942 5.005848],[-0.626908 4.279549],[0.521169 3.438459],[0.392106 2.751295],[2.397939 2.432487],[1.201436 3.121252],[-0.267025 2.566954],[-0.138538 3.169310],[0.145718 2.766049],[-0.538207 3.583266],[1.208653 3.400829],[-0.365073 3.731223],[-0.466048 2.804268],[-0.651064 3.035575],[0.244841 3.903744],[0.932957 3.984559],[-0.805627 4.818386],[-0.061491 3.287084],[0.353429 2.716804],[-0.727623 3.212056],[-0.007423 3.499530],[0.809798 3.324063],[2.896504 3.802418],[1.490104 2.466430],[2.441612 4.033188],[1.065435 3.254151],[1.723094 2.463301],[-0.264040 4.902098],[-0.261933 2.642595],[-0.097713 4.108462],[-0.990776 3.110640],[-0.072924 3.948614],[-1.473819 2.735316],[0.254119 4.375067],[0.319316 3.030893],[1.061400 2.837387]
[-0.533251 3.087499],[-1.320381 1.912807],[-0.854418 1.033289],[-1.058092 2.433492],[-1.578381 1.745047],[-1.606835 1.523945],[-0.527523 2.148618],[-1.207531 0.930496],[-1.428988 2.816756],[-0.854099 2.003103],[-1.880521 1.626863],[-0.693955 1.443059],[-1.784020 1.487612],[-1.888700 2.205661],[-1.503733 2.180339],[-0.813176 1.759205],[-0.738831 1.350528],[-0.303190 2.063832],[-1.374325 1.614659],[-1.175199 2.968919],[0.223962 2.279396],[-1.222028 1.339098],[-1.853132 2.905912],[-1.914828 2.575333],[0.220030 2.425270],[-0.960069 1.756893],[-0.877123 3.738762],[0.175346 1.132347],[-1.912457 2.871786],[-0.635434 2.115375],[0.255945 1.181807],[-0.937538 1.771417],[-0.795330 2.778886],[-0.915275 1.404174],[-0.149398 2.324540],[-0.149305 0.508804],[-0.424564 2.021334],[-0.693711 1.524905],[0.823869 2.411966],[-1.230769 1.543336],[-0.624193 2.075420],[-1.357373 2.145524],[-1.026905 2.600906],[-0.917783 1.907906],[-1.368900 1.931756],[0.567470 2.462363],[-0.158167 1.244714],[-1.739646 0.698978],[-0.947796 2.426020],[-2.964567 1.514257],[-2.246603 1.625178],[-0.534920 0.869371],[-0.721185 1.091798],[-1.986221 1.140249],[-1.033141 1.537825],[-1.301677 2.459888],[-1.493628 2.047660],[0.674573 2.719967],[-0.675030 2.483381],[-0.797767 1.250588],[-0.261340 1.660331],[1.701490 1.560275],[-1.806290 2.454617],[-0.513095 1.504391],[-1.663188 4.521170],[-0.101488 2.196580],[-0.748965 2.525533],[-2.180653 1.219003],[-0.670130 1.994809],[-1.608553 2.364319],[-0.364613 1.451195],[-1.180915 1.550591],[-0.936769 1.662617],[-0.063952 2.074260],[-0.834014 2.133901],[-2.132670 2.998168],[-0.539345 2.338466],[-2.294839 2.195284],[-0.585884 3.462190],[-0.797422 1.113050],[0.162717 1.415647],[-1.983208 1.788258],[-2.011390 1.558972],[-2.403274 2.214296],[-0.769097 2.083821],[-2.290202 1.750141],[-0.713521 3.341491],[-1.528545 0.683250],[-0.822943 2.097139],[-1.325227 1.936070],[-2.702692 1.259450],[-0.654087 2.474701],[-1.376212 1.307365],[-0.614616 2.264577],[-2.095580 2.366337],[-0.888731 1.906928],[-3.093915 1.153294],[-0.688212 1.905119],[-1.225364 2.374826],[-1.437623 1.637684]
[-0.743727 0.375261],[-1.605634 -0.406500],[0.291945 -1.097002],[-1.856172 -0.986190],[0.052634 0.324719],[-1.449125 -0.179286],[-1.407456 0.828629],[-0.465358 -0.550368],[0.216466 1.537144],[-0.132990 0.232637],[0.193734 -0.244601],[0.303802 0.665062],[-2.190375 -0.943288],[0.850222 0.421485],[-1.603803 0.276054],[-0.880429 0.485863],[-0.820315 -0.166085],[-0.964206 -0.526989],[-0.870842 -0.381396],[-0.605619 -0.995414],[-0.356232 0.243696],[-0.157487 0.013974],[-2.076768 1.551781],[-0.509614 -2.056842],[0.622609 1.331060],[-0.938765 0.983638],[-0.539704 1.784254],[-1.348066 -0.796186],[-1.220772 -1.035623],[-0.960368 -0.331088],[-1.358012 -1.086891],[-0.227438 1.129588],[-0.848785 -2.499237],[-1.657609 -1.130942],[-1.395625 -0.960277],[-0.899326 -1.719007],[-0.922056 1.145937],[-0.621309 -0.592230],[0.108509 2.010739],[-0.573948 0.050324],[-0.512983 0.973616],[-0.886054 0.188180],[0.111340 -1.571963],[0.035373 0.998761],[0.028925 -0.757466],[-0.548193 -0.473628],[-1.114060 -0.730712],[-0.138343 -0.584264],[-1.784979 0.682158],[0.742230 -0.868550],[-0.583435 -0.046501],[-1.654603 -0.329740],[0.255871 -1.613312],[-2.088546 -0.590385],[-1.491630 0.260429],[-0.411332 0.123456],[-1.986938 0.292895],[-0.175863 -2.205321],[0.135986 0.623222],[0.356864 -0.881843],[-0.037071 0.813848],[0.939008 -0.257894],[-2.393438 1.563570],[-1.007541 -0.100313],[-1.177299 2.585437],[0.133598 0.982047],[-1.013878 -0.325497],[-3.390981 0.182851],[-2.151409 -0.716256],[-1.251899 -0.328593],[-0.182438 0.836180],[-0.761857 -0.770055],[-0.908589 -0.513256],[0.120040 -0.884437],[-0.570937 0.306413],[-1.373902 -1.408996],[0.075854 -1.234307],[-1.090379 -1.394020],[-0.565517 -1.430642],[-1.347096 -0.345513],[0.108143 -1.274752],[-1.279070 -1.515193],[-0.984947 0.782551],[-0.398220 -1.499527],[-0.586207 -1.265782],[-2.314746 -1.361996],[-1.515727 2.482102],[-2.255552 -0.515686],[-1.307456 0.136823],[-1.655871 -1.232062],[-1.701533 -0.001188],[-0.830549 0.684865],[-1.006558 -0.383243],[-0.259458 -0.582206],[-2.527816 -0.514586],[-1.146076 -1.171808],[-1.562336 -0.359188],[-0.856077 0.189348],[-1.563673 -1.086492],[-2.139934 -0.099451]
[-0.216035 -1.208685],[0.309944 -1.069400],[0.618702 -0.732427],[0.483744 -0.884150],[0.837905 -0.825943],[-1.169456 -0.725013],[-1.502797 0.166859],[0.436478 -0.440668],[0.934158 -1.158129],[0.219971 -0.835716],[1.001343 -0.733638],[0.317283 -0.563115],[1.192073 -1.761931],[2.065660 -1.181816],[0.680715 -1.161851],[0.036370 -0.485083],[-0.129321 -0.900668],[-0.680951 -0.935076],[0.171074 -1.007200],[-0.150202 -1.627099],[-0.407965 -0.934650],[0.374783 -0.648588],[0.904679 -0.955910],[0.773015 -4.096748],[-0.202484 0.327118],[-0.066723 -0.283073],[0.160164 0.292924],[-0.956191 -0.790677],[-0.504275 -1.686876],[-0.032139 -1.055352],[0.136058 -0.593530],[0.255288 -0.544867],[-0.445525 -3.388727],[-0.242413 -1.177957],[0.282864 -1.085949],[-0.921587 -0.764566],[-0.477195 -1.212514],[-0.522059 -1.441230],[-0.505746 -2.011505],[0.350962 -0.705321],[0.166607 -0.794856],[0.125361 -0.906162],[0.203099 -1.020220],[0.225415 -1.274355],[0.607885 -1.583151],[-1.070637 -1.094146],[-1.251822 -0.622959],[0.644301 -0.216175],[0.244365 -0.241283],[2.549384 -1.442086],[0.541362 -0.779177],[-0.146736 -0.386178],[-0.005015 -1.840352],[-1.200724 -1.016928],[-1.385363 -0.677081],[0.111320 -1.199940],[-1.546231 -0.717130],[-0.587757 -0.567308],[0.321660 -1.289974],[0.457602 -0.990045],[0.009160 -0.798591],[-0.186352 -0.962024],[-2.392950 -1.115708],[-1.165427 -0.853297],[-0.028907 -1.184146],[-0.252487 -0.399026],[0.478166 -1.322162],[2.232897 -0.556887],[0.559761 -1.420904],[0.260723 -1.602856],[-0.069718 -0.305466],[0.204529 -1.473917],[0.379158 -1.189439],[-0.119294 -1.978854],[-0.420934 -0.777072],[-0.459877 -1.593169],[0.001144 -2.830144],[0.333428 -2.630413],[-0.447937 -1.198789],[-0.802307 -0.807751],[-0.340540 -0.670634],[0.183125 -2.514264],[0.003412 -0.204181],[0.675690 -0.993756],[-0.311967 -0.617132],[-1.487151 -1.542579],[-1.528099 -2.593992],[0.300136 -0.613235],[-0.902773 -1.072111],[-0.133503 -1.604408],[0.944937 -0.613132],[-0.352187 -0.537626],[-0.432338 -0.942782],[-0.052815 -1.255978],[0.915357 -0.971948],[0.035224 -1.665487],[0.034489 -0.898371],[-0.066128 -0.966840],[-1.151377 -2.289164],[0.110650 -0.773927]
[0.127822 0.361117],[1.023383 0.001380],[0.459034 -0.032515],[0.481167 0.061670],[-0.576188 -0.643937],[-0.470137 -0.445031],[-0.269492 -0.347078],[0.594374 -0.313246],[-0.179505 -1.174006],[-0.300816 0.308897],[1.082420 -0.278513],[0.265408 -0.155461],[2.060266 -1.137030],[-0.259643 0.296899],[0.388770 -0.024904],[0.266920 -0.558506],[0.184511 -0.736415],[0.156600 0.610416],[0.455138 -0.231760],[0.065231 0.334197],[-0.344243 -1.063615],[-0.026767 -0.742909],[1.350490 -1.642070],[-0.430847 -4.166927],[-0.562453 -0.249735],[0.333774 -0.550756],[0.132459 -0.912097],[0.406917 0.382929],[0.284928 -0.238421],[0.356146 -0.991412],[0.790795 0.351543],[0.353072 -0.680928],[0.020961 1.727960],[0.602233 -0.159030],[0.869914 -0.707268],[0.012592 0.229502],[0.099326 -0.220225],[-0.285909 -1.595980],[-0.192776 -3.260844],[0.038441 -0.875546],[0.421217 -0.469902],[0.185410 -1.328891],[0.235448 -0.001432],[-0.333977 -2.358136],[-0.157485 -0.923845],[-0.055572 -1.316079],[0.561196 0.216829],[0.002871 0.161404],[1.166651 -0.422479],[-0.888882 0.348533],[0.098601 -0.236047],[0.593376 -0.129642],[-0.237623 -1.043936],[0.896782 -0.148056],[-0.999252 -0.625655],[0.094961 -0.515782],[-0.000170 -1.164712],[-0.425618 0.457455],[-0.320398 -1.135551],[0.455511 -0.249933],[-0.083631 -0.046569],[-0.712820 0.213107],[0.893430 -1.300397],[-0.263185 -0.868041],[0.369881 -0.847822],[-0.262321 -0.808745],[1.037659 -0.167882],[2.481367 0.074808],[0.835042 -0.623653],[0.444152 -0.762883],[-0.101723 -0.268565],[0.513389 -0.486410],[0.594257 -0.211258],[-0.298866 0.319422],[-0.115360 -0.009200],[0.180729 -1.120938],[-0.179773 -1.239326],[0.571976 -2.958763],[-0.200383 -0.928347],[0.368230 -0.233239],[-0.482979 0.780893],[0.869905 0.978822],[0.336274 -0.352977],[1.163615 -0.352651],[-0.167712 0.223715],[0.897809 -1.376781],[-1.354096 -3.494428],[0.706386 -0.219506],[0.124456 0.416883],[0.587462 -1.417186],[1.354401 0.197592],[-0.067061 -0.189834],[0.322321 0.673715],[-0.126012 -1.387901],[1.862178 0.628026],[0.571955 0.003977],[0.572294 0.285892],[0.215961 -0.236985],[0.192223 -0.253257],[0.976082 -0.413317]
[0.102204 0.828400],[1.271384 0.485310],[-0.039194 0.315444],[0.081520 0.463438],[-0.820004 -0.339918],[0.003435 -0.223793],[0.450983 -0.117133],[-0.631576 -0.159415],[-0.702929 -0.277010],[-0.211988 0.622854],[-1.098009 0.097630],[-0.139516 0.153907],[-1.235912 0.426753],[-1.395064 0.482368],[0.113167 0.533495],[0.248450 -0.080327],[-0.060459 0.503521],[0.552914 0.928159],[-0.319998 0.230764],[0.014533 0.700872],[0.141754 0.189508],[-0.294282 -0.558669],[-0.772453 -1.894014],[-0.832347 -4.168939],[-0.497872 -0.313872],[-0.238534 0.054030],[-0.090038 -0.076500],[0.634393 0.969383],[0.662460 0.674654],[0.027606 -0.489981],[0.743408 0.039375],[-0.304614 -0.625116],[0.105496 2.093723],[0.685842 0.544925],[-0.599717 -0.047467],[0.407045 0.180150],[0.175847 0.621652],[0.006211 -1.654752],[0.101974 1.804234],[-0.216515 0.615289],[-0.419899 0.504412],[-0.079468 -0.684342],[-0.058202 0.451889],[-0.437439 -0.505602],[-0.470028 0.947309],[0.449313 0.606519],[1.065338 0.140225],[-0.446283 0.287723],[-0.086504 -0.121113],[-2.307505 1.230490],[-0.206611 0.203718],[-0.212367 0.049479],[-0.084090 0.496776],[0.276013 0.322109],[-0.222085 0.531985],[-0.030754 0.589638],[0.708995 -0.225692],[0.061698 0.467593],[-0.529873 0.323484],[-0.275043 0.186810],[-0.130026 0.329442],[-0.704453 0.349053],[0.946222 -1.091197],[0.389428 -0.226102],[0.083253 -0.190023],[-0.156284 -0.235279],[-0.775107 0.574536],[2.584460 0.312383],[-0.683200 0.161332],[0.086437 0.409333],[-0.098062 -0.006393],[0.641739 0.256424],[0.642532 0.369286],[-0.131462 0.781782],[0.090568 0.330567],[0.030101 -0.074885],[-0.255356 0.318975],[-0.484704 0.208973],[0.031710 0.594720],[0.836130 0.120104],[-0.050541 1.500896],[-0.485526 2.209223],[0.069497 -0.142877],[-0.505564 0.290693],[0.042325 0.139298],[0.987903 0.933933],[-1.009919 2.723184],[0.143442 -0.001383],[0.515184 0.786596],[0.938671 1.308662],[-0.569384 0.292994],[0.064126 0.095144],[0.096270 1.415981],[-0.135187 -1.134649],[-1.182558 1.365743],[0.444874 0.794406],[0.187160 0.597641],[-0.077146 0.225081],[0.561212 0.787163],[1.327387 0.425719]
[0.075995 -0.148152],[1.210034 0.119442],[-0.235676 0.041489],[-0.153099 -0.066412],[0.466958 0.293495],[0.246476 0.034992],[0.720452 0.053844],[0.026176 0.017215],[-0.285742 0.426356],[0.097829 -0.215269],[-1.235832 0.070773],[-0.003517 -0.143073],[-0.636123 0.335662],[-0.787685 -0.019336],[-0.187963 0.224301],[-0.134212 0.159688],[-0.157991 0.279180],[0.541736 -0.895610],[-0.598911 0.209712],[0.007565 0.452484],[0.209851 0.605069],[0.050343 0.139421],[-0.792662 1.197250],[-0.508435 -2.484014],[-0.080004 0.066155],[-0.244316 0.133463],[-0.178870 0.344251],[0.326108 -0.000042],[0.536314 0.984828],[-0.132625 -0.076489],[0.045308 -0.217494],[-0.329477 -0.155733],[0.001113 0.115612],[0.042758 0.430794],[-0.211854 0.243729],[0.400557 0.106345],[-0.033891 0.484665],[0.199871 0.099919],[0.212281 3.341503],[-0.079703 0.449559],[-0.108681 -0.076566],[-0.014647 0.757993],[-0.055307 -0.038896],[0.040532 0.736476],[0.296317 -0.105515],[0.155217 0.831727],[-0.071183 -0.059564],[-0.323404 0.237966],[-0.664419 0.032358],[-1.643702 0.915588],[-0.237200 0.148296],[-0.327545 -0.080413],[0.177306 0.270610],[-0.351932 0.208384],[0.427252 0.611599],[-0.090100 0.564148],[0.320164 0.270644],[0.244298 0.443487],[0.288657 0.454150],[-0.078962 -0.027476],[-0.057087 -0.085529],[0.233084 -0.027704],[-0.329616 -0.090404],[0.172596 0.270562],[-0.082049 0.346076],[0.151722 0.245139],[-0.594367 0.136614],[-0.445193 0.258742],[-0.929892 0.185518],[-0.172872 0.678906],[-0.016789 0.084735],[0.001692 0.299958],[-0.127198 -0.192504],[0.023693 0.444000],[0.173860 -0.268196],[-0.045212 0.448141],[0.049549 0.399495],[-0.934880 1.772250],[0.145673 0.239369],[1.009547 0.037652],[0.233299 1.555779],[-0.354277 -0.797870],[-0.095786 0.027908],[-1.305856 0.606590],[0.127249 0.040143],[0.300885 2.030496],[-0.319995 5.458653],[-0.269754 -0.024221],[-0.203515 0.581567],[-0.265641 0.198417],[-1.366406 0.078825],[0.096206 0.021858],[-0.104741 -0.581006],[-0.077540 -0.851035],[-2.239404 -1.130093],[-0.068026 0.171866],[-0.053067 0.430359],[-0.198942 -0.048591],[0.512845 1.038728],[0.681426 0.556456]
